,,Country,Total Cases,Total Deaths,Continent
United_States,34542349,620208,North_America,,
India,30410577,399475,Asia,,
Brazil,18559164,518246,South_America,,
France,5775301,111082,Europe,,
Russia,5514599,135214,Europe,,
Turkey,5425652,49732,Asia,,
United_Kingdom,4800907,128140,Europe,,
Argentina,4470374,94304,South_America,,
Italy,4259909,127566,Europe,,
Colombia,4240982,106544,South_America,,
Spain,3808960,80875,Europe,,
Germany,3736223,91459,Europe,,
Iran,3204557,84264,Asia,,
Poland,2879912,75021,Europe,,
Mexico,2513164,232803,North_America,,
Ukraine,2235096,52340,Europe,,
Indonesia,2178272,58491,Asia,,
Peru,2052065,192331,South_America,,
South_Africa,1973972,60647,Africa,,
Netherlands,1685000,17745,Europe,,
Czech_Republic_(Czechia),1667287,30303,Europe,,
Chile,1555902,32545,South_America,,
Canada,1415284,26295,North_America,,
Philippines,1412559,24662,Asia,,
Iraq,1345904,17186,Asia,,
Sweden,1089990,14591,Europe,,
Belgium,1084550,25170,Europe,,
Romania,1080792,33786,Europe,,
Pakistan,957371,22281,Asia,,
Bangladesh,913258,14503,Asia,,
Portugal,879557,17096,Europe,,
Israel,841777,6429,Asia,,
Hungary,808128,29992,Europe,,
Japan_(+Diamond_Princess),798871,14753,Asia,,
Malaysia,751979,5170,Asia,,
Jordan,751404,9750,Asia,,
Serbia,716562,7047,Europe,,
Switzerland,703004,10891,Europe,,
Austria,650412,10702,Europe,,
Nepal,638805,9112,Asia,,
United_Arab_Emirates,632907,1811,Asia,,
Lebanon,544866,7851,Asia,,
Morocco,531361,9296,Africa,,
Saudi_Arabia,487592,7819,Asia,,
Ecuador,458504,21560,South_America,,
Bolivia,437623,16702,South_America,,
Kazakhstan,423137,4349,Asia,,
Greece,422456,12687,Europe,,
Bulgaria,421829,18061,Europe,,
Paraguay,421589,12763,South_America,,
Tunisia,420103,14959,Africa,,
Belarus,417189,3143,Europe,,
Panama,402581,6536,North_America,,
Slovakia,391642,12510,Europe,,
Uruguay,369350,5593,South_America,,
Costa_Rica,367938,4667,North_America,,
Georgia,366078,5316,Asia,,
Croatia,359872,8206,Europe,,
Kuwait,356687,1969,Asia,,
Azerbaijan,336047,4974,Asia,,
Dominican_Republic,325221,3822,North_America,,
State_of_Palestine,314167,3563,Asia,,
Denmark,293677,2534,Europe,,
Guatemala,293583,9215,North_America,,
Egypt,281282,16169,Africa,,
Lithuania,278769,4383,Europe,,
Ethiopia,276174,4320,Africa,,
Ireland,271931,4989,Europe,,
Venezuela,271679,3101,South_America,,
Oman,268545,3100,Asia,,
Bahrain,265827,1352,Asia,,
Honduras,262069,6980,North_America,,
Thailand,259301,2023,Asia,,
Sri_Lanka,259089,3077,Asia,,
Slovenia,257335,4419,Europe,,
Moldova,256734,6194,Europe,,
Armenia,225095,4514,Asia,,
Qatar,222071,590,Asia,,
Bosnia_and_Herzegovina,205022,9665,Europe,,
Libya,193474,3193,Africa,,
Cuba,190993,1284,North_America,,
Kenya,184161,3634,Africa,,
Nigeria,167618,2120,Africa,,
Myanmar,157277,3334,Asia,,
South_Korea,156961,2018,Asia,,
North_Macedonia,155684,5484,Europe,,
Zambia,154948,2199,Africa,,
Algeria,139626,3716,Africa,,
Latvia,137429,2513,Europe,,
Albania,132521,2456,Europe,,
Norway,131316,794,Europe,,
Estonia,131064,1269,Europe,,
Kyrgyzstan,125003,2000,Asia,,
Afghanistan,120216,4962,Asia,,
Mongolia,115478,563,Asia,,
Uzbekistan,110677,736,Asia,,
Montenegro,100252,1613,Europe,,
Finland,95742,969,Europe,,
Ghana,95642,795,Africa,,
China,91780,4636,Asia,,
Namibia,86649,1445,Africa,,
Cameroon,80858,1324,Africa,,
Uganda,79977,1023,Africa,,
El_Salvador,78766,2381,North_America,,
Mozambique,76404,878,Africa,,
Cyprus,75431,374,Asia,,
Maldives,73798,210,Asia,,
Luxembourg,70787,818,Europe,,
Botswana,69680,1125,Africa,,
Singapore,62579,36,Asia,,
Cambodia,50385,602,Asia,,
Jamaica,50080,1065,North_America,,
Zimbabwe,49864,1789,Africa,,
Côte_d'Ivoire,48242,313,Africa,,
Senegal,43128,1166,Africa,,
Madagascar,42216,913,Africa,,
DR_Congo,40836,924,Africa,,
Angola,38682,894,Africa,,
Rwanda,38198,431,Africa,,
Sudan,36658,2754,Africa,,
Malawi,35897,1194,Africa,,
Trinidad_and_Tobago,32793,847,North_America,,
Cabo_Verde,32457,286,Africa,,
Malta,30623,420,Europe,,
Australia,30611,910,Australia/Oceania,,
Réunion,30583,237,Africa,,
French_Guiana,27415,145,South_America,,
Syria,25515,1876,Asia,,
Gabon,24984,159,Africa,,
Guinea,23753,169,Africa,,
Suriname,21519,516,South_America,,
Mauritania,20747,487,Africa,,
Guyana,19959,468,South_America,,
Mayotte,19405,174,Africa,,
Eswatini,19084,678,Africa,,
French_Polynesia,19003,142,Australia/Oceania,,
Haiti,18658,436,North_America,,
Papua_New_Guinea,17098,173,Australia/Oceania,,
Guadeloupe,16881,230,North_America,,
Vietnam,16507,80,Asia,,
Seychelles,15579,68,Africa,,
Somalia,14933,775,Africa,,
Taiwan,14804,648,Asia,,
Mali,14422,525,Africa,,
Andorra,13911,127,Europe,,
Togo,13881,129,Africa,,
Burkina_Faso,13479,168,Africa,,
Tajikistan,13478,90,Asia,,
Belize,13227,329,North_America,,
Congo,12596,165,Africa,,
Bahamas,12586,246,North_America,,
Martinique,12374,98,North_America,,
Curaçao,12339,126,North_America,,
Hong_Kong,11924,211,Asia,,
Djibouti,11602,155,Africa,,
Lesotho,11344,329,Africa,,
Aruba,11135,107,North_America,,
South_Sudan,10834,117,Africa,,
Timor-Leste,9222,23,Asia,,
Equatorial_Guinea,8734,121,Africa,,
Benin,8199,104,Africa,,
Nicaragua,8178,191,North_America,,
Central_African_Republic,7141,98,Africa,,
Yemen,6920,1361,Asia,,
Iceland,6649,30,Europe,,
Gambia,6079,181,Africa,,
Eritrea,5936,23,Africa,,
Sierra_Leone,5495,98,Africa,,
Niger,5488,193,Africa,,
Burundi,5428,8,Africa,,
Saint_Lucia,5292,84,North_America,,
San_Marino,5091,90,Europe,,
Chad,4951,174,Africa,,
Fiji,4418,21,Australia/Oceania,,
Gibraltar,4348,94,Europe,,
Channel_Islands,4322,86,Europe,,
Barbados,4079,47,North_America,,
Comoros,3912,146,Africa,,
Liberia,3900,127,Africa,,
Guinea-Bissau,3853,69,Africa,,
Liechtenstein,3036,59,Europe,,
New_Zealand,2742,26,Australia/Oceania,,
Sint_Maarten,2614,33,North_America,,
Monaco,2577,33,Europe,,
Bermuda,2514,33,North_America,,
Turks_and_Caicos,2424,18,North_America,,
Sao_Tome_&_Principe,2366,37,Africa,,
Saint_Martin,2276,12,North_America,,
St._Vincent_&_Grenadines,2225,12,North_America,,
Laos,2121,3,Asia,,
Bhutan,2100,1,Asia,,
Mauritius,1833,18,Africa,,
Caribbean_Netherlands,1646,17,North_America,,
Isle_of_Man,1613,29,Europe,,
Antigua_and_Barbuda,1263,42,North_America,,
Saint_Barthelemy,1005,1,North_America,,
Faeroe_Islands,775,1,Europe,,
Cayman_Islands,614,2,North_America,,
Tanzania,509,21,Africa,,
Wallis_&_Futuna,445,7,Australia/Oceania,,
Saint_Kitts_&_Nevis,443,3,North_America,,
British_Virgin_Islands,298,1,North_America,,
Brunei_,260,3,Asia,,
Dominica,193,0,North_America,,
Grenada,161,1,North_America,,
New_Caledonia,129,0,Australia/Oceania,,
Anguilla,109,0,North_America,,
Falkland_Islands,63,0,South_America,,
Macao,54,0,Asia,,
Greenland,50,0,North_America,,
Holy_See,27,0,Europe,,
Saint_Pierre_&_Miquelon,26,0,North_America,,
Montserrat,20,1,North_America,,
Solomon_Islands,20,0,Australia/Oceania,,
Western_Sahara,10,1,Africa,,
MS_Zaandam,9,2,,,
Vanuatu,4,1,Australia/Oceania,,
Marshall_Islands,4,0,Australia/Oceania,,
Samoa,3,0,Australia/Oceania,,
Saint_Helena,2,0,Africa,,
Micronesia,1,0,Australia/Oceania,,
